Optimization,Cache,R/S First,Message Size,Time (Microseconds)
opt,nocache,S,4,42
opt,nocache,S,64,45
opt,nocache,S,256,63
noopt,nocache,S,4,111
noopt,nocache,S,64,266
noopt,nocache,S,256,753
opt,nocache,R,4,41
opt,nocache,R,64,43
opt,nocache,R,256,66
noopt,nocache,R,4,106
noopt,nocache,R,64,267
noopt,nocache,R,256,785
opt,icache,S,4,35
opt,icache,S,64,38
opt,icache,S,256,54
noopt,icache,S,4,104
noopt,icache,S,64,263
noopt,icache,S,256,778
opt,icache,R,4,34
opt,icache,R,64,37
opt,icache,R,256,53
noopt,icache,R,4,101
noopt,icache,R,64,262
noopt,icache,R,256,776
opt,dcache,S,4,41
opt,dcache,S,64,45
opt,dcache,S,256,61
noopt,dcache,S,4,109
noopt,dcache,S,64,272
noopt,dcache,S,256,784
opt,dcache,R,4,41
opt,dcache,R,64,44
opt,dcache,R,256,61
noopt,dcache,R,4,107
noopt,dcache,R,64,270
noopt,dcache,R,256,782
opt,bcache,S,4,36
opt,bcache,S,64,39
opt,bcache,S,256,55
noopt,bcache,S,4,106
noopt,bcache,S,64,259
noopt,bcache,S,256,748
opt,bcache,R,4,34
opt,bcache,R,64,37
opt,bcache,R,256,53
noopt,bcache,R,4,101
noopt,bcache,R,64,262
noopt,bcache,R,256,776